common_name,first_observation,location,region
Sharp-shinned Hawk,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Brown Pelican,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Great Blue Heron,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Great Egret,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Double-crested Cormorant,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Brandt's Cormorant,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Loon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Red-throated Loon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Western Grebe,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Pied-billed Grebe,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Black Skimmer,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
California Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Western Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Bonaparte's Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Black Turnstone,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Spotted Sandpiper,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Whimbrel,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
American Coot,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Allen's Hummingbird,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Band-tailed Pigeon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Rock Pigeon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Merganser,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Goldeneye,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Surf Scoter,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Mallard,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Canada Goose,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
American Robin,16 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Black Phoebe,16 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Yellow-rumped Warbler,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Brewer's Blackbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Brown-headed Cowbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
